GeneSym	NA	GeneID
IFI35	na	3430
ACTL6A	na	86
ARID1A	na	8289
SMARCD1	na	6602
SMARCA4	na	6597
SMARCB1	na	6598
SMARCC1	na	6599
SMARCC2	na	6601
SMARCE1	na	6605
SMARCD2	na	6603
MECP2	na	4204
SMARCA2	na	6595
ARID2	na	196528
PBRM1	na	55193
CARM1	na	10498
SCYL1	na	57410
IKZF1	na	10320
IKZF2	na	22807
IKZF3	na	22806
SMARCD3	na	6604
AFF1	na	4299
MLLT1	na	4298
ARID1B	na	57492
ARID4A	na	5926
BRMS1L	na	84312
ING2	na	3622
BRMS1	na	25855
SAP130	na	79595
SUDS3	na	64426
SAP25	na	100316904
ARID4B	na	51742
SAP30	na	8819
SAP18	na	10284
HDAC1	na	3065
HDAC2	na	3066
RBBP4	na	5928
RBBP7	na	5931
SIN3A	na	25942
CHD3	na	1107
MTA1	na	9112
CHD4	na	1108
GATAD2B	na	57459
MBD2	na	8932
MBD3	na	53615
MTA2	na	9219
DPF2	na	5977
HNRNPC	na	3183
ING1	na	3621
KIAA0101	na	9768
CBX4	na	8535
CDYL	na	9425
LCOR	na	84458
ZEB2	na	9839
ZNF516	na	9658
CTBP2	na	1488
ZEB1	na	6935
EHMT1	na	79813
EHMT2	na	10919
CTBP1	na	1487
HMG20A	na	10363
PHF21B	na	112885
RCOR3	na	55758
RREB1	na	6239
GSE1	na	23199
ZMYM2	na	7750
GTF2I	na	2969
ZMYM3	na	9203
HMG20B	na	10362
PHF21A	na	51317
ZNF217	na	7764
KDM1A	na	23028
RCOR1	na	23186
CEACAM1	na	634
HIST1H2BA	na	255626
SPI1	na	6688
REST	na	5978
ANKRD11	na	29123
CACYBP	na	27101
SIAH1	na	6477
CORO2A	na	7464
KDM4A	na	9682
KIF11	na	3832
ZBTB33	na	10009
TRIM33	na	51592
GPS2	na	2874
TBL1XR1	na	79718
TBL1X	na	6907
HDAC3	na	8841
NCOR1	na	9611
MSH4	na	4438
MSH5	na	4439
HESX1	na	8820
IFRD1	na	3475
SIN3B	na	23309
HEY2	na	23493
NCOR2	na	9612
ACTR5	na	79913
INO80E	na	283899
NFRKB	na	4798
ACTR8	na	93973
INO80D	na	54891
INO80B	na	83444
INO80	na	54617
INO80C	na	125476
MCRS1	na	10445
C17ORF49	na	124944
TEX10	na	54881
SENP3	na	26168
PHF20	na	51230
PELP1	na	27043
MGAM	na	8972
LAS1L	na	81887
CHD8	na	57680
PRPF31	na	26121
HCFC1	na	3054
KMT2A	na	4297
HSPA4	na	3308
KANSL1	na	284058
MSL2	na	55167
MSL3	na	10943
KAT8	na	84148
E2F6	na	1876
GJB3	na	2707
L3MBTL2	na	83746
MGA	na	23269
PCGF6	na	84108
YAF2	na	10138
MAX	na	4149
MXD1	na	4084
ATXN7	na	6314
SUPT3H	na	8464
TADA3	na	10474
TAF5L	na	27097
TAF6L	na	10629
KAT2A	na	2648
SUPT7L	na	9913
TADA1	na	117143
TADA2A	na	6871
GTF2A1	na	2957
GTF2A2	na	2958
TAF3	na	83860
TAF1	na	6872
TAF6	na	6878
TAF9	na	6880
TAF10	na	6881
TAF12	na	6883
TAF11	na	6882
TAF5	na	6877
TAF13	na	6884
TAF7	na	6879
TAF2	na	6873
TAF4	na	6874
TBP	na	6908
TAF9B	na	51616
TAF4B	na	6875
ASH2L	na	9070
RBBP5	na	5929
WDR5	na	11091
SETD1A	na	9739
CCNY	na	219771
WDR82	na	80335
SETD1B	na	23067
MEN1	na	4221
SERPIND1	na	3053
DPY30	na	84661
KMT2B	na	9757
PAGR1	na	79447
PAX7	na	5081
KDM6A	na	7403
PAXIP1	na	22976
KMT2C	na	58508
NCOA6	na	23054
N4BP2	na	55728
PPP6R3	na	55291
PROSER1	na	80209
ZNF281	na	23528
KMT2D	na	8085
TUBA4A	na	7277
CCDC85B	na	11007
TAF7L	na	54457
ACTR6	na	64431
EAF2	na	55840
ZNHIT1	na	10467
H2AFZ	na	3015
SRCAP	na	10847
VPS72	na	6944
BRD8	na	10902
EPC1	na	80314
EP400	na	57634
DMAP1	na	55929
EPC2	na	26122
ING3	na	54556
MRGBP	na	55257
YEATS4	na	8089
MORF4L2	na	9643
KAT5	na	10524
RUVBL1	na	8607
RUVBL2	na	10856
TRRAP	na	8295
MORF4L1	na	10933
MRFAP1	na	93621
BRD1	na	23774
BRPF1	na	7862
BRPF3	na	27154
KAT6B	na	23522
KAT6A	na	7994
ING4	na	51147
KAT7	na	11143
MEAF6	na	64769
ING5	na	84289
JADE2	na	23338
JADE3	na	9767
JADE1	na	79960
TAF1A	na	9015
TAF1B	na	9014
TAF1C	na	9013
ATF7IP2	na	80063
SP1	na	6667
BAG5	na	9529
PARK2	na	5071
PARK7	na	11315
SNCA	na	6622
OGT	na	8473
TRAK2	na	66008
PINK1	na	65018
RHOT2	na	89941
TRAK1	na	22906
PPP1R10	na	5514
AK2	na	204
CASP10	na	843
CASP8	na	841
FADD	na	8772
FAS	na	355
CFLAR	na	8837
BCL10	na	8915
MALT1	na	10892
