name,class,RNA,Protein,reg_group
ACAP2,CNLOH,-0.27776439891175647,-0.11812266723272091,Intermediate/Other
ACAP3,Amp,0.8019387625789877,1.003961675717583,Compensated
ACAP3,CNLOH,0.35660732796324585,0.4296649040461443,Compensated
ACAT1,Amp,-0.04693081662835363,0.5644317730445509,Intermediate/Other
ACAT1,CNLOH,0.10136202769230855,-0.8734684669393549,Intermediate/Other
ACAT2,Amp,0.20567400249957096,0.7469961132453693,Compensated
ACAT2,CNLOH,0.0426388639210008,-0.46060295715815575,Intermediate/Other
ACBD3,Amp,0.298771647431173,0.44328235351201795,Compensated
ACBD3,del,1.2527450695504723,0.9481405601383872,Compensated
ACBD5,Amp,-0.16147114623912096,0.3593923320290528,Prot-comp.
ACBD5,CNLOH,1.1449705372912948,1.227376333071386,Compensated
ACBD5,del,1.4498404555338422,1.882703420875366,Compensated
ACBD6,Amp,0.17290130675625628,0.16404950913208954,Compensated
ACBD7,Amp,0.047622682363054114,0.39169529538296793,Intermediate/Other
ACBD7,CNLOH,0.10776897987291319,-0.3935906879026845,Intermediate/Other
ACD,Amp,0.10748501534920327,-0.06059353303942949,Intermediate/Other
ACD,CNLOH,-0.8382631683028614,-0.19886760802778863,Hyper-responders
ACE,Amp,0.3558577735404676,-0.2813629510502023,RNA-comp.
ACE,CNLOH,-0.4632539607548858,0.14834485805963826,Intermediate/Other
ACE,del,1.5622278843231552,2.6669704507823155,Compensated
ACIN1,Amp,0.64020827762797194,0.7084458586243287,Compensated
ACIN1,CNLOH,0.04090889492278127,-0.42108685729095585,Intermediate/Other
ACLY,Amp,0.36265112252267306,0.6037344144187831,Compensated
ACLY,CNLOH,-0.042415661756257335,0.12397530549288846,Intermediate/Other
ACLY,del,0.2825001852227107,0.399567536683998,Compensated
ACO1,Amp,0.6377672460898554,0.6178740442397612,Compensated
ACO1,CNLOH,-0.5328900183974078,-0.10905368677442033,Intermediate/Other
ACO2,Amp,0.8690477904235812,0.6779706785557307,Compensated
ACO2,CNLOH,-0.3376544063007766,-0.3043034758000365,Hyper-responders
ACO2,del,0.9280177255629143,1.1583627805942807,Compensated
ACOT11,Amp,1.272725087310726,0.9612900357763109,Compensated
ACOT11,CNLOH,0.43810335608141315,-0.16243924512939015,RNA-comp.
ACOT11,del,0.02039266747669366,-0.6567132518331459,Intermediate/Other
ACOT13,Amp,0.32459897099610274,1.0259757967460033,Compensated
ACOT13,CNLOH,-0.22222001272039268,-1.3154629403830296,Hyper-responders
ACOT13,del,1.3087627089758453,0.744747476428377,Compensated
ACOT2,Amp,1.3137110399329384,-0.00871649890916959,Intermediate/Other
ACOT2,CNLOH,-0.8855689855618624,-0.4007948957327969,Hyper-responders
ACOT2,del,-2.4949342706091238,-0.24212444906671227,Hyper-responders
ACOT7,Amp,1.2491384279530613,0.8250487523848766,Compensated
ACOT7,CNLOH,0.29712073304362946,0.0570287594309289,Intermediate/Other
ACOT8,Amp,0.6165807048639759,0.7927308321704885,Compensated
ACOT9,Amp,0.8626641592478259,0.7744193795710299,Compensated
ACOT9,CNLOH,-0.6231771215572364,-0.3464852932002735,Hyper-responders
ACOT9,del,0.3207637392948303,0.02124605933049234,Intermediate/Other
ACOX1,Amp,0.5483342257947061,0.8246083512489271,Compensated
ACOX1,CNLOH,-0.24410162508182306,-0.5224716604367833,Hyper-responders
ACOX1,del,-0.08018965509837939,-0.2345731852762145,Intermediate/Other
ACOX2,Amp,0.890316061888271,0.26295437905822905,Compensated
ACOX2,CNLOH,0.47420832274928365,-0.2094506198365433,RNA-comp.
ACOX2,del,1.1857561490993935,-0.9172796646638905,RNA-comp.
ACOX3,Amp,0.6981927250581447,0.8088468212186177,Compensated
ACOX3,CNLOH,0.16685145930783613,0.13061158992226157,Intermediate/Other
ACOX3,del,-1.3487394923813882,0.046281630859689726,Intermediate/Other
ACP1,Amp,0.6003043350938568,0.4601717202048132,Compensated
ACP1,del,0.34195133049171356,0.3374561664447192,Compensated
ACP2,Amp,1.0464558190131366,0.6075055430468367,Compensated
ACP2,CNLOH,-1.0980276408187237,-0.77243936742581,Hyper-responders
ACP6,Amp,0.20608840765741718,0.5744062262313339,Compensated
ACSF2,Amp,-0.9341817697409699,-0.03966784703367543,Intermediate/Other
ACSF2,CNLOH,1.05923631200026,0.13576271975688606,Intermediate/Other
ACSF2,del,-1.5581075755389608,-1.368278972160368,Hyper-responders
ACSF3,Amp,0.24292147638669018,0.15334254207482034,Compensated
ACSF3,CNLOH,0.7865079494470822,0.16857149943549013,Compensated
ACSL1,Amp,1.4726820900836048,-0.01978433147886341,Intermediate/Other
ACSL1,CNLOH,-0.7338489632976701,0.41725417918292756,Prot-comp.
ACSL1,del,-0.05815612750966037,1.1180095044404856,Intermediate/Other
ACSL3,Amp,0.6046600032399659,0.751276789391051,Compensated
ACSL3,CNLOH,-0.5235207264545234,-0.6372535686456284,Hyper-responders
ACSL4,Amp,1.836276914334947,2.7201176916570664,Compensated
ACSL4,CNLOH,0.8240667827319519,1.2850852936018053,Compensated
ACSL4,del,0.04674218141188352,0.9591786051831069,Intermediate/Other
ACSL5,Amp,0.37104474413921135,-0.15958893730491946,RNA-comp.
ACSL5,CNLOH,0.5695345713957858,-0.0562043936605251,Intermediate/Other
